अनुयोगद्वार सूत्र		१०० वर्ष ईसापूर्व	जैन ग्रन्थ । इस ग्रन्थ में बड़ी-बड़ी संख्याएं आयी हैं जैसे, 10^96। इसके अलावा अनेक गणितीय संक्रियाओं जैसे घातों के गुण के बारे में बताया गया है				
चाणक्यन्याय	चाणक्य	4वीं श.	अंशगणना	 तर्कशास्त्र	तर्कप्रवर्तकं दृष्टिम् अन्यथा		
जम्बूद्वीपप्रज्ञप्ति जैन ग्रन्थ	(अज्ञात)	जैन भूगोल	" गणित  ""जम्बूद्वीप और अन्य द्वीपों का वर्णन"	" जिसमें गणितीय गणनाएं भी हैं"""			
जम्बूद्वीपप्रज्ञप्ति भाष्य	(अज्ञात)	(अज्ञात)	जैन भूगोल	 गणित	जम्बूद्वीपप्रज्ञप्ति की टीका		
ताजिकनीलकण्ठी   नीलकण्ठ	1587 ई.	ज्योतिष	 गणित	फारसी ज्योतिष और भारतीय ज्योतिष का समन्वय।			
ताजिकनीलकण्ठी भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	ताजिकनीलकण्ठी की टीका		
तिलोयपण्णत्ती   यतिवृषभ	छठी शताब्दी ई.   जैन भूगोल	" गणित  ""जैन भूगोल और खगोल का वर्णन"	" जिसमें गणितीय गणनाएं भी हैं"""				
तिलोयपण्णत्ती भाष्य	(अज्ञात)	(अज्ञात)	जैन भूगोल	 गणित	तिलोयपण्णत्ती की टीका		
तुल्यगणितशास्त्र	गणितज्ञ शिवनाथ	9वीं श.	अंशगणना	 अंकगणितीय समीकरण	गणना निरंतर सुसंवृद्ध		
त्रिकोणगणना	भास्कराचार्य	12वीं श.	त्रिकोणमिति	 ज्यामिति	समझा त्रिकोणों का गणित		
त्रिकोणमिति	अज्ञात	900 ईस्वी	त्रिकोणमिति	 ज्यामिति	त्रिकोणमिति के सिद्धान्त।		
त्रिकोणमिति भाष्य	(अज्ञात)	(अज्ञात)	त्रिकोणमिति	त्रिकोणमिति की टीका			
त्रिकोणसंख्या	पाराशर	7वीं श.	वर्गमूल	 गणितीय त्रिकोण	पारंपरिक त्रिकोणांक गणना		
त्रिशतिका	श्रीधराचार्य	750 ईस्वी	अंकगणित	 बीजगणित	300 श्लोकों में गणित के सिद्धान्त।		
त्रिशतिका भाष्य	(अज्ञात)	(अज्ञात)	अंकगणित	त्रिशतिका की टीका			
दशमलवसूत्र	कृष्णभट	9वीं श.	दशमलव गणना	दशमलव गणना प्रयोगात्मक			
दृक्कर्मकरण	परमेश्वर	1400-1460 ई.   खगोलशास्त्र	खगोलीय प्रेक्षणों और गणनाओं की विधियों का वर्णन।				
दृक्कर्मकरण भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	दृक्कर्मकरण की टीका			
द्वादशवर्गसूत्र	ब्रह्मगुप्त	7वीं श.	समीकरण	 ज्यामिति	वर्गमूल समासरः समं		
पंचसिद्धान्तिका	वराहमिहिर	550 ईस्वी	खगोलशास्त्र	 गणित	पाँच खगोलीय सिद्धान्तों का संग्रह।		
परिकर्मव्यवहार   (अज्ञात)	(अज्ञात)	"गणित ""प्राचीन भारतीय गणितीय विधियों का वर्णन"""					
परिकर्मव्यवहार भाष्य	(अज्ञात)	(अज्ञात)	गणित	परिकर्मव्यवहार की टीका			
पाटीगणित	श्रीधराचार्य	750 ईस्वी	"अंकगणित ""अंकगणित का एक व्यवस्थित ग्रंथ"""	 बीजगणित	इसमें गुणा और भाग के नियम सरल तरीके से समझाए गए हैं।		
पाटीगणित भाष्य	(अज्ञात)	(अज्ञात)	अंकगणित	पाटीगणित की टीका			
पारंपरिक गणितसूत्र	विमलनाथ	9वीं श.	गणितीय विश्लेषण	पारंपरिक साधन में गणित			
बीजगणित	भास्कराचार्य	1150 ई.	बीजगणित	द्विघात समीकरणों का विस्तृत विवरण।	 करणी	बीजगणित के सिद्धांतों और उनके अनुप्रयोगों का विस्तृत वर्णन।  उदाहरण: 'अव्यक्तराशिं' (अज्ञात राशि)	
बीजगणित भाष्य	(अज्ञात)	(अज्ञात)	बीजगणित	बीजगणित की टीका			
बीजगणितम	अज्ञात	700 ईस्वी	बीजगणित	 समीकरण	समीकरणों का विस्तृत विवरण।		
बीजपल्लवन	कृष्णदैवज्ञ	16वीं सदी ई.	"बीजगणित ""बीजगणित के सिद्धांतों का विशद वर्णन"""				
बीजपल्लवन भाष्य	(अज्ञात)	(अज्ञात)	बीजगणित	बीजपल्लवन की टीका			
बृहज्जातक	वराहमिहिर	550 ई.	ज्योतिष	 गणित	ज्योतिषीय भविष्यवाणियों का विस्तृत ग्रन्थ।		
बृहज्जातक भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	बृहज्जातक की टीका		
बृहत् गणित	अज्ञात	1200 ईस्वी	अंकगणित	 बीजगणित	गणित के विस्तृत नियम।		
बृहत्संहिता	वराहमिहिर	550 ईस्वी	ज्योतिष	 गणित	 वास्तुशास्त्र	इसमें गणित के साथ-साथ ज्योतिष का भी वर्णन है।	
बृहद् जातक	वराहमिहिर	6वीं श.	गणितीय ज्योतिष	 त्रिकोणमिति	 अंशगणना	सप्ततिः अंशान्यायेन कर्तव्या च दशांग्राहणी	
ब्रह्मगुप्तसूत्र	ब्रह्मगुप्त	7वीं श.	समय गणना	 त्रिकोणमिति	ज्यामिति कर्तव्यतारिका		
ब्रह्मसूत्र	ब्रह्मगुप्त	7वीं श.	अंशगणना	 दशमलव प्रणाली	नैषा बृहत्कल्पनां न्यायसूत्रयोजयेत्		
ब्रह्मस्फुटसिद्धान्त	ब्रह्मगुप्त	628 ईस्वी	शून्य	 ऋणात्मक संख्याएँ	 द्विघात समीकरण	शून्य का सही उपयोग पहली बार इस ग्रंथ में किया गया।	
ब्रह्मस्फुटसिद्धान्त   ब्रह्मगुप्त	628 ई.	गणित	" खगोलशास्त्र  ""शून्य की अवधारणा का पहली बार स्पष्ट वर्णन"	" ऋणात्मक संख्याओं का उपयोग।  उदाहरण: 'धनर्णयोः' (धनात्मक और ऋणात्मक)"""			
भगवती सूत्र   जैन ग्रन्थ	(अज्ञात)	"गणित ""जैन गणित का महत्वपूर्ण ग्रन्थ"	 जिसमें क्रमचय-संचय	" आदि का वर्णन है"""			
भगवती सूत्र भाष्य	(अज्ञात)	(अज्ञात)	गणित	भगवती सूत्र की टीका			
भृगु संहिता	महर्षि भृगु	(अज्ञात)	ज्योतिष	 गणित	ज्योतिषीय भविष्यवाणियां और गणितीय गणनाएं		
भृगु संहिता भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	भृगु संहिता की टीका		
मध्यमात्मसिद्धांत	अर्यभट	5वीं श.	दशमलव प्रणाली	 अंकगणित	दशमलव कार्यक्षमता		
मुक्तिसिद्धांत	धन्वंतरि	9वीं श.	वर्गमूल	 त्रिकोणमिति	मुक्ति गणना संप्राप्ति		
मुहूर्तमाला	रामदैवज्ञ	15वीं सदी ई.	ज्योतिष	 गणित	शुभ-अशुभ मुहूर्त का वर्णन।		
मुहूर्तमाला भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	मुहूर्तमाला की टीका		
युक्तिभाषा	ज्येष्ठदेव	1530 ईस्वी	गणित	 खगोलशास्त्र	केरल स्कूल ऑफ एस्ट्रोनॉमी का प्रसिद्ध ग्रंथ।		
योगयात्रा	वराहमिहिर	550 ई.	ज्योतिष	 गणित	यात्रा और शुभ-अशुभ मुहूर्त का वर्णन।		
योगयात्रा भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	योगयात्रा की टीका		
योगसंग्रह	भास्कराचार्य	12वीं श.	वर्गमूल	 गुणनफल	 त्रिकोणमिति	वर्गमूल वर्धनें ज्ञान लाभ	
योजनापद्धति	सुश्रुत	7वीं श.	संख्याशास्त्र	 गणितीय योग	सिद्धान्त रूप गणनाकार्यता		
राशिसिद्धांत	लक्ष्मीनाथ	10वीं श.	ज्यामिति	 समांतर रेखाएं	राशि प्रणाली गणनात्मक सुधार		
रेखागणित	(अज्ञात)	(अज्ञात)	"ज्यामिति ""ज्यामितीय आकृतियों और उनके गुणों का अध्ययन"""				
लघुजातक	वराहमिहिर	550 ई.	ज्योतिष	 गणित	ज्योतिषीय भविष्यवाणियों का संक्षिप्त ग्रन्थ।		
लघुजातक भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 गणित	लघुजातक की टीका		
लीलावती	भास्कराचार्य	1150 ईस्वी	अंकगणित	 ज्यामिति	 बीजगणित	लीलावती गणित की प्रसिद्ध पुस्तक है, जिसमें सरल उदाहरण दिए गए हैं।	
लीलावती भाष्य   (अज्ञात)	(अज्ञात)	"गणित ""लीलावती की टीका"""					
वराहमिहिर संहिता	 वराहमिहिर	550 ई.	ज्योतिष	 खगोलशास्त्र	 गणित	ज्योतिष, खगोलशास्त्र और गणित का एक व्यापक ग्रन्थ।	
वराहमिहिर संहिता भाष्य	(अज्ञात)	(अज्ञात)	ज्योतिष	 खगोलशास्त्र	 गणित	वराहमिहिर संहिता की टीका	
वर्गन्याय	भगवती	7वीं श.	समीकरण	 त्रिकोणमिति	समीकरण अनुशासन विधि		
वर्गसूत्र	सिद्धांत सिद्धानं	7वीं श.	वर्गमूल	 त्रिकोणमिति	संबद्धवर्गगुणयोजी सङ्ग्रामं		
वर्धमानगणित	वर्धमान	10वीं श.	गणना	 त्रिकोणमिति	सिद्धांतिक गणित वृद्धि शील		
वासनाभाष्य	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र	 गणित	सिद्धान्त शिरोमणि की टीका।		
विवाहगणित	अयोध्यापुत्र	12वीं श.	गणितीय गणना	विवाहकार्यां का गणनात्मक प्रयोग			
विश्ववेदगणित	पाराशर	5वीं श.	संख्याशास्त्र	गणित के लिए विश्व संवाद			
वृत्तजाति	अज्ञात	600 ईस्वी	ज्यामिति	 वृत्त के गुण	वृत्त के गुणों का विस्तृत वर्णन।		
वेदांगज्योतिष	ऋग्वेदाचार्य	1-2 श.पूर्व	गणितीय ज्योतिष	 समय गणना	विधिना सूर्यं च चंद्रं तत्त्वज्ञानं ज्ञातं		
शंकरब्रह्मसूत्र	शंकराचार्य	8वीं श.	गणितीय तात्त्विकता	 संज्ञा	ब्रह्मं किवा गणितीय दृष्टि		
शुलब सूत्र	बौधायन	 आपस्तम्ब	 कात्यायन	 मानव (ऋषि)	800-600 ई.पू.  ज्यामिति	" गणित ""ज्यामितीय रचनाओं और यज्ञ वेदियों के निर्माण से संबंधित गणितीय ज्ञान"""	
शुलब सूत्र भाष्य	(अज्ञात)	(अज्ञात)	ज्यामिति	 गणित	शुलब सूत्र की टीका		
शुल्ब सूत्र	बौधायन	800-500 ईसा पूर्व	ज्यामिति	 यज्ञ वेदिका निर्माण	पाइथागोरस प्रमेय का उल्लेख इससे पहले ही हो चुका था।		
शेषगणित	आर्यभट	5वीं श.	अंशगणना	 अंकगणित	 भेदी गणना	कृतज्ञता कर्मस्व सन्निवेशन	
शेषगणितसूत्र	पाणिनि	5वीं श.	व्याकरण	 गणितीय संख्याएँ	व्याप्तिः कथं योजनागत्यं		
सन्निवेशन	अर्यभट	5वीं श.	गणितीय त्रिकोणमिति	 अंशगणना	सन्निवेशे गणना क्रिया सम्पद्यते यथा कथम्		
सप्तगणितसूत्र	वसुंधरा	8वीं श.	आधुनिक अंकगणित	 त्रिकोणमिति	सप्तगणित विधाय योजना		
सिद्धांत शिरोमणि	भास्कराचार्य	12वीं श.	ज्यामिति	 त्रिकोणमिति	 अंकगणित	फलनस्य लक्षणं सूत्रेण कार्येण योजयेत्	
सिद्धान्त दर्पण	नारायण पण्डित	1350 ईस्वी	खगोलशास्त्र	 गणित	ग्रहों की गति के नए सिद्धान्त।		
सिद्धान्त रत्नाकर	सुधाकर द्विवेदी	1900 ईस्वी	खगोलशास्त्र	 गणित	आधुनिक खगोलशास्त्र का विवरण।		
सिद्धान्त शिरोमणि	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र	 गोलीय त्रिकोणमिति	इसमें ग्रहों की गति का विस्तृत वर्णन है।		
सिद्धान्त शेखर	श्रीपति	1050 ईस्वी	खगोलशास्त्र	 गणित	ग्रहों की गति का विस्तृत विवरण।		
सिद्धान्तशिरोमणि	भास्कराचार्य	1150 ई.	खगोलशास्त्र	 गणित	खगोल विज्ञान और गणित का एक महत्वपूर्ण ग्रन्थ। चार भाग: लीलावती, बीजगणित, ग्रहगणित, गोलाध्याय।		
सिद्धान्तशिरोमणि भाष्य (अज्ञात)	(अज्ञात)	खगोलशास्त्र	 गणित	सिद्धान्तशिरोमणि की टीका			
सिद्धान्तिका	भास्कराचार्य	12वीं श.	आधुनिक अंकगणित	 त्रिकोणमिति	अधिकतम बिन्दु स्थूलता मापने		
सूक्ष्मसिद्धांत	नंदी	9वीं श.	अंकगणित	सूक्ष्म गणनां सिद्धांतिक दृष्टि			
सूत्रकारिका	गणेश्वरा	8वीं श.	गणना प्रणाली	सूत्रकारिका निर्धारण			
सूर्य सिद्धान्त	अज्ञात	400-600 ईस्वी	खगोलशास्त्र	 त्रिकोणमिति	सूर्य और चंद्र की गति का विस्तृत वर्णन।		
सूर्यप्रज्ञप्ति	जैन ग्रन्थ	(अज्ञात)	खगोलशास्त्र	 गणित	सूर्य की गति और खगोलीय घटनाओं का वर्णन		
सूर्यप्रज्ञप्ति भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	 गणित	सूर्यप्रज्ञप्ति की टीका		
सूर्यसिद्धान्त	(अज्ञात)	चौथी-पांचवीं शताब्दी ई.	खगोलशास्त्र	 त्रिकोणमिति	खगोल विज्ञान पर एक प्रमुख ग्रन्थ जिसमें त्रिकोणमिति का भी वर्णन है।		
स्थानांग सूत्र	(अज्ञात)		जैन गणित का महत्वपूर्ण ग्रन्थ जिसमें संख्याओं भिन्नों आदि का वर्णन है				
स्थानांग सूत्र भाष्य	(अज्ञात)	(अज्ञात)	गणित	स्थानांग सूत्र की टीका			
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							" और खगोलशास्त्रीय सिद्धांतों का वर्णन।  उदाहरण: 'चतुराधिकं शतमष्टगुणं द्वेषष्टिः सहस्राणाम्' (६२८३२)"""
							" और खगोलशास्त्रीय सिद्धांतों का वर्णन।  उदाहरण: 'चतुराधिकं शतमष्टगुणं द्वेषष्टिः सहस्राणाम्' (६२८३२)"""
